yourlist:M20211026F248CABF64506F29A91F8037F07B67D12525920	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
5178	Q9GZU2	PEG3_HUMAN	reviewed	Paternally-expressed gene 3 protein (Zinc finger and SCAN domain-containing protein 24)	PEG3 KIAA0287 ZSCAN24	Homo sapiens (Human)	1588
51804	Q9UIU6	SIX4_HUMAN	reviewed	Homeobox protein SIX4 (Sine oculis homeobox homolog 4)	SIX4	Homo sapiens (Human)	781
51816	Q9NZK5	ADA2_HUMAN	reviewed	Adenosine deaminase 2 (EC 3.5.4.4) (Cat eye syndrome critical region protein 1)	ADA2 ADGF CECR1 IDGFL	Homo sapiens (Human)	511
5184	P12955	PEPD_HUMAN	reviewed	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase)	PEPD PRD	Homo sapiens (Human)	493
5187	O15534	PER1_HUMAN	reviewed	Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui)	PER1 KIAA0482 PER RIGUI	Homo sapiens (Human)	1290
5189	O43933	PEX1_HUMAN	reviewed	Peroxisome biogenesis factor 1 (Peroxin-1) (Peroxisome biogenesis disorder protein 1)	PEX1	Homo sapiens (Human)	1283
5191	O00628	PEX7_HUMAN	reviewed	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7)	PEX7 PTS2R	Homo sapiens (Human)	323
5195	O75381	PEX14_HUMAN	reviewed	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	Homo sapiens (Human)	377
5230	P00558	PGK1_HUMAN	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417
5236	P36871	PGM1_HUMAN	reviewed	Phosphoglucomutase-1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	PGM1	Homo sapiens (Human)	562
5238	O95394	AGM1_HUMAN	reviewed	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)	PGM3 AGM1	Homo sapiens (Human)	542
5251	P78562	PHEX_HUMAN	reviewed	Phosphate-regulating neutral endopeptidase PHEX (EC 3.4.24.-) (Metalloendopeptidase homolog PEX) (Vitamin D-resistant hypophosphatemic rickets protein) (X-linked hypophosphatemia protein) (HYP)	PHEX PEX	Homo sapiens (Human)	749
5253	O75151	PHF2_HUMAN	reviewed	Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)	PHF2 CENP-35 KIAA0662	Homo sapiens (Human)	1096
5257	Q93100	KPBB_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	Homo sapiens (Human)	1093
5261	P15735	PHKG2_HUMAN	reviewed	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	PHKG2	Homo sapiens (Human)	406
5264	O14832	PAHX_HUMAN	reviewed	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)	PHYH PAHX	Homo sapiens (Human)	338
5265	P01009	A1AT_HUMAN	reviewed	Alpha-1-antitrypsin (Alpha-1 protease inhibitor) (Alpha-1-antiproteinase) (Serpin A1) [Cleaved into: Short peptide from AAT (SPAAT)]	SERPINA1 AAT PI PRO0684 PRO2209	Homo sapiens (Human)	418
5269	P35237	SPB6_HUMAN	reviewed	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)	SERPINB6 PI6 PTI	Homo sapiens (Human)	376
5277	P37287	PIGA_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A (EC 2.4.1.198) (GlcNAc-PI synthesis protein) (Phosphatidylinositol-glycan biosynthesis class A protein) (PIG-A)	PIGA	Homo sapiens (Human)	484
529	P36543	VATE1_HUMAN	reviewed	V-type proton ATPase subunit E 1 (V-ATPase subunit E 1) (V-ATPase 31 kDa subunit) (p31) (Vacuolar proton pump subunit E 1)	ATP6V1E1 ATP6E ATP6E2	Homo sapiens (Human)	226
5290	P42336	PK3CA_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (PI3-kinase subunit alpha) (PI3K-alpha) (PI3Kalpha) (PtdIns-3-kinase subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha) (PtdIns-3-kinase subunit p110-alpha) (p110alpha) (Phosphoinositide 3-kinase alpha) (Phosphoinositide-3-kinase catalytic alpha polypeptide) (Serine/threonine protein kinase PIK3CA) (EC 2.7.11.1)	PIK3CA	Homo sapiens (Human)	1068
5291	P42338	PK3CB_HUMAN	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (PI3-kinase subunit beta) (PI3K-beta) (PI3Kbeta) (PtdIns-3-kinase subunit beta) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta) (PtdIns-3-kinase subunit p110-beta) (p110beta)	PIK3CB PIK3C1	Homo sapiens (Human)	1070
5292	P11309	PIM1_HUMAN	reviewed	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	PIM1	Homo sapiens (Human)	313
5295	P27986	P85A_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	Homo sapiens (Human)	724
5296	O00459	P85B_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta)	PIK3R2	Homo sapiens (Human)	728
5306	Q00169	PIPNA_HUMAN	reviewed	Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha)	PITPNA PITPN	Homo sapiens (Human)	270
5308	Q99697	PITX2_HUMAN	reviewed	Pituitary homeobox 2 (ALL1-responsive protein ARP1) (Homeobox protein PITX2) (Paired-like homeodomain transcription factor 2) (RIEG bicoid-related homeobox transcription factor) (Solurshin)	PITX2 ARP1 RGS RIEG RIEG1	Homo sapiens (Human)	317
5309	O75364	PITX3_HUMAN	reviewed	Pituitary homeobox 3 (Homeobox protein PITX3) (Paired-like homeodomain transcription factor 3)	PITX3 PTX3	Homo sapiens (Human)	302
5310	P98161	PKD1_HUMAN	reviewed	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)	PKD1	Homo sapiens (Human)	4303
5311	Q13563	PKD2_HUMAN	reviewed	Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2)	PKD2 TRPP2	Homo sapiens (Human)	968
5324	Q6DJT9	PLAG1_HUMAN	reviewed	Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)	PLAG1	Homo sapiens (Human)	500
5325	Q9UM63	PLAL1_HUMAN	reviewed	Zinc finger protein PLAGL1 (Lost on transformation 1) (LOT-1) (Pleiomorphic adenoma-like protein 1) (Tumor suppressor ZAC)	PLAGL1 LOT1 ZAC	Homo sapiens (Human)	463
53335	Q9H165	BC11A_HUMAN	reviewed	B-cell lymphoma/leukemia 11A (BCL-11A) (B-cell CLL/lymphoma 11A) (COUP-TF-interacting protein 1) (Ecotropic viral integration site 9 protein homolog) (EVI-9) (Zinc finger protein 856)	BCL11A CTIP1 EVI9 KIAA1809 ZNF856	Homo sapiens (Human)	835
5335	P19174	PLCG1_HUMAN	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 (EC 3.1.4.11) (PLC-148) (Phosphoinositide phospholipase C-gamma-1) (Phospholipase C-II) (PLC-II) (Phospholipase C-gamma-1) (PLC-gamma-1)	PLCG1 PLC1	Homo sapiens (Human)	1290
53353	Q9NZR2	LRP1B_HUMAN	reviewed	Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)	LRP1B LRPDIT	Homo sapiens (Human)	4599
5351	Q02809	PLOD1_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	PLOD1 LLH PLOD	Homo sapiens (Human)	727
5352	O00469	PLOD2_HUMAN	reviewed	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737
5354	P60201	MYPR_HUMAN	reviewed	Myelin proteolipid protein (PLP) (Lipophilin)	PLP1 PLP	Homo sapiens (Human)	277
5371	P29590	PML_HUMAN	reviewed	Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19)	PML MYL PP8675 RNF71 TRIM19	Homo sapiens (Human)	882
5373	O15305	PMM2_HUMAN	reviewed	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	PMM2	Homo sapiens (Human)	246
5376	Q01453	PMP22_HUMAN	reviewed	Peripheral myelin protein 22 (PMP-22) (Growth arrest-specific protein 3) (GAS-3)	PMP22 GAS3	Homo sapiens (Human)	160
538	Q04656	ATP7A_HUMAN	reviewed	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
53834	Q8N441	FGRL1_HUMAN	reviewed	Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5)	FGFRL1 FGFR5 FHFR UNQ480/PRO943	Homo sapiens (Human)	504
53904	Q8NEV4	MYO3A_HUMAN	reviewed	Myosin-IIIa (EC 2.7.11.1)	MYO3A	Homo sapiens (Human)	1616
53947	Q9NPC4	A4GAT_HUMAN	reviewed	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (CD77 synthase) (Globotriaosylceramide synthase) (Gb3 synthase) (P1/Pk synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	A4GALT A14GALT A4GALT1	Homo sapiens (Human)	353
5395	P54278	PMS2_HUMAN	reviewed	Mismatch repair endonuclease PMS2 (EC 3.1.-.-) (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2)	PMS2 PMSL2	Homo sapiens (Human)	862
5396	P54821	PRRX1_HUMAN	reviewed	Paired mesoderm homeobox protein 1 (Homeobox protein PHOX1) (Paired-related homeobox protein 1) (PRX-1)	PRRX1 PMX1	Homo sapiens (Human)	245
54	P13686	PPA5_HUMAN	reviewed	Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase)	ACP5	Homo sapiens (Human)	325
540	P35670	ATP7B_HUMAN	reviewed	Copper-transporting ATPase 2 (EC 7.2.2.8) (Copper pump 2) (Wilson disease-associated protein) [Cleaved into: WND/140 kDa]	ATP7B PWD WC1 WND	Homo sapiens (Human)	1465
54084	Q8WU66	TSEAR_HUMAN	reviewed	Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR)	TSPEAR C21orf29	Homo sapiens (Human)	669
5424	P28340	DPOD1_HUMAN	reviewed	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase subunit delta p125)	POLD1 POLD	Homo sapiens (Human)	1107
5426	Q07864	DPOE1_HUMAN	reviewed	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	POLE POLE1	Homo sapiens (Human)	2286
5429	Q9Y253	POLH_HUMAN	reviewed	DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)	POLH RAD30 RAD30A XPV	Homo sapiens (Human)	713
54344	Q9P2X0	DPM3_HUMAN	reviewed	Dolichol-phosphate mannosyltransferase subunit 3 (Dolichol-phosphate mannose synthase subunit 3) (DPM synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3) (Prostin-1)	DPM3	Homo sapiens (Human)	92
54346	Q86WB7	UN93A_HUMAN	reviewed	Protein unc-93 homolog A (HmUnc-93A) (Unc-93A)	UNC93A	Homo sapiens (Human)	457
54413	Q9NZ94	NLGN3_HUMAN	reviewed	Neuroligin-3 (Gliotactin homolog)	NLGN3 KIAA1480 NL3	Homo sapiens (Human)	848
54453	Q8WYP3	RIN2_HUMAN	reviewed	Ras and Rab interactor 2 (Ras association domain family 4) (Ras inhibitor JC265) (Ras interaction/interference protein 2)	RIN2 RASSF4	Homo sapiens (Human)	895
54463	Q9H6L5	RETR1_HUMAN	reviewed	Reticulophagy regulator 1 (Reticulophagy receptor 1)	RETREG1 FAM134B JK1	Homo sapiens (Human)	497
5447	P16435	NCPR_HUMAN	reviewed	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4)	POR CYPOR	Homo sapiens (Human)	677
54499	Q9UM00	TMCO1_HUMAN	reviewed	Calcium load-activated calcium channel (CLAC channel) (Transmembrane and coiled-coil domain-containing protein 1) (Transmembrane and coiled-coil domains protein 4) (Xenogeneic cross-immune protein PCIA3)	TMCO1 TMCC4 PNAS-10 PNAS-136 UNQ151/PRO177	Homo sapiens (Human)	239
545	Q13535	ATR_HUMAN	reviewed	Serine/threonine-protein kinase ATR (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein) (FRAP-related protein 1)	ATR FRP1	Homo sapiens (Human)	2644
5450	Q16633	OBF1_HUMAN	reviewed	POU domain class 2-associating factor 1 (B-cell-specific coactivator OBF-1) (BOB-1) (OCA-B) (OCT-binding factor 1)	POU2AF1 BOB1 OBF1	Homo sapiens (Human)	256
54551	Q9UJ55	MAGL2_HUMAN	reviewed	MAGE-like protein 2 (Necdin-like protein 1) (Protein nM15)	MAGEL2 NDNL1	Homo sapiens (Human)	1249
546	P46100	ATRX_HUMAN	reviewed	Transcriptional regulator ATRX (EC 3.6.4.12) (ATP-dependent helicase ATRX) (X-linked helicase II) (X-linked nuclear protein) (XNP) (Znf-HX)	ATRX RAD54L XH2	Homo sapiens (Human)	2492
5460	Q01860	PO5F1_HUMAN	reviewed	POU domain, class 5, transcription factor 1 (Octamer-binding protein 3) (Oct-3) (Octamer-binding protein 4) (Oct-4) (Octamer-binding transcription factor 3) (OTF-3)	POU5F1 OCT3 OCT4 OTF3	Homo sapiens (Human)	360
5468	P37231	PPARG_HUMAN	reviewed	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Homo sapiens (Human)	505
547	Q12756	KIF1A_HUMAN	reviewed	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104)	KIF1A ATSV C2orf20	Homo sapiens (Human)	1690
54704	Q9P0J1	PDP1_HUMAN	reviewed	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)	PDP1 PDP PPM2C	Homo sapiens (Human)	537
54738	Q99581	FEV_HUMAN	reviewed	Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1)	FEV PET1	Homo sapiens (Human)	238
5479	P23284	PPIB_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)	PPIB CYPB	Homo sapiens (Human)	216
54790	Q6N021	TET2_HUMAN	reviewed	Methylcytosine dioxygenase TET2 (EC 1.14.11.n2)	TET2 KIAA1546 Nbla00191	Homo sapiens (Human)	2002
54806	Q8N157	AHI1_HUMAN	reviewed	Jouberin (Abelson helper integration site 1 protein homolog) (AHI-1)	AHI1	Homo sapiens (Human)	1196
54808	Q7RTS9	DYM_HUMAN	reviewed	Dymeclin (Dyggve-Melchior-Clausen syndrome protein)	DYM	Homo sapiens (Human)	669
54809	Q5K651	SAMD9_HUMAN	reviewed	Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9)	SAMD9 C7orf5 DRIF1 KIAA2004 OEF1	Homo sapiens (Human)	1589
54820	Q9NXR1	NDE1_HUMAN	reviewed	Nuclear distribution protein nudE homolog 1 (NudE)	NDE1 NUDE	Homo sapiens (Human)	335
54855	Q5VWP2	TET5C_HUMAN	reviewed	Terminal nucleotidyltransferase 5C (EC 2.7.7.19) (Non-canonical poly(A) polymerase FAM46C)	TENT5C FAM46C	Homo sapiens (Human)	391
54880	Q6W2J9	BCOR_HUMAN	reviewed	BCL-6 corepressor (BCoR)	BCOR KIAA1575	Homo sapiens (Human)	1755
54894	Q68DV7	RNF43_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF43 (EC 2.3.2.27) (RING finger protein 43) (RING-type E3 ubiquitin transferase RNF43)	RNF43	Homo sapiens (Human)	783
54897	Q86V15	CASZ1_HUMAN	reviewed	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	Homo sapiens (Human)	1759
54902	Q6DKK2	TTC19_HUMAN	reviewed	Tetratricopeptide repeat protein 19, mitochondrial (TPR repeat protein 19)	TTC19	Homo sapiens (Human)	380
54904	Q9BZ95	NSD3_HUMAN	reviewed	Histone-lysine N-methyltransferase NSD3 (EC 2.1.1.370) (EC 2.1.1.371) (Nuclear SET domain-containing protein 3) (Protein whistle) (WHSC1-like 1 isoform 9 with methyltransferase activity to lysine) (Wolf-Hirschhorn syndrome candidate 1-like protein 1) (WHSC1-like protein 1)	NSD3 WHSC1L1 DC28	Homo sapiens (Human)	1437
54928	Q9NX62	IMPA3_HUMAN	reviewed	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)	BPNT2 IMPA3 IMPAD1	Homo sapiens (Human)	359
54943	Q9NX36	DJC28_HUMAN	reviewed	DnaJ homolog subfamily C member 28	DNAJC28 C21orf55 C21orf78	Homo sapiens (Human)	388
54949	Q9NX18	SDHF2_HUMAN	reviewed	Succinate dehydrogenase assembly factor 2, mitochondrial (SDH assembly factor 2) (SDHAF2)	SDHAF2 C11orf79 PGL2 SDH5	Homo sapiens (Human)	166
55005	Q9NWS8	RMND1_HUMAN	reviewed	Required for meiotic nuclear division protein 1 homolog	RMND1 C6orf96	Homo sapiens (Human)	449
55023	Q8WWQ0	PHIP_HUMAN	reviewed	PH-interacting protein (PHIP) (DDB1- and CUL4-associated factor 14) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)	PHIP DCAF14 WDR11	Homo sapiens (Human)	1821
55033	Q9NWM8	FKB14_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase FKBP14 (PPIase FKBP14) (EC 5.2.1.8) (22 kDa FK506-binding protein) (22 kDa FKBP) (FKBP-22) (FK506-binding protein 14) (FKBP-14) (Rotamase)	FKBP14 FKBP22 UNQ322/PRO381	Homo sapiens (Human)	211
55036	Q4G0X9	CCD40_HUMAN	reviewed	Coiled-coil domain-containing protein 40	CCDC40 KIAA1640	Homo sapiens (Human)	1142
55055	Q9H900	ZWILC_HUMAN	reviewed	Protein zwilch homolog (hZwilch)	ZWILCH	Homo sapiens (Human)	591
55084	A7XYQ1	SOBP_HUMAN	reviewed	Sine oculis-binding protein homolog (Jackson circler protein 1)	SOBP JXC1	Homo sapiens (Human)	873
55112	Q8WVS4	DC2I1_HUMAN	reviewed	Cytoplasmic dynein 2 intermediate chain 1 (Dynein 2 intermediate chain 1) (WD repeat-containing protein 60)	DYNC2I1 WDR60	Homo sapiens (Human)	1066
55135	Q9BUR4	TCAB1_HUMAN	reviewed	Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene) (WRAP53beta)	WRAP53 TCAB1 WDR79	Homo sapiens (Human)	548
55157	Q6PI48	SYDM_HUMAN	reviewed	Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	DARS2	Homo sapiens (Human)	645
5518	P30153	2AAA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589
55180	Q8NG48	LINES_HUMAN	reviewed	Protein Lines homolog 1 (Wnt-signaling molecule Lines homolog 1)	LINS1 LINS WINS1	Homo sapiens (Human)	757
55193	Q86U86	PB1_HUMAN	reviewed	Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)	PBRM1 BAF180 PB1	Homo sapiens (Human)	1689
55209	Q9C0A6	SETD5_HUMAN	reviewed	Histone-lysine N-methyltransferase SETD5 (EC 2.1.1.359) (EC 2.1.1.367) (SET domain-containing protein 5)	SETD5 KIAA1757	Homo sapiens (Human)	1442
55212	Q8IWZ6	BBS7_HUMAN	reviewed	Bardet-Biedl syndrome 7 protein (BBS2-like protein 1)	BBS7 BBS2L1	Homo sapiens (Human)	715
55215	Q9NVI1	FANCI_HUMAN	reviewed	Fanconi anemia group I protein (Protein FACI)	FANCI KIAA1794	Homo sapiens (Human)	1328
55217	Q9NVH6	TMLH_HUMAN	reviewed	Trimethyllysine dioxygenase, mitochondrial (EC 1.14.11.8) (Epsilon-trimethyllysine 2-oxoglutarate dioxygenase) (Epsilon-trimethyllysine hydroxylase) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase) (TML dioxygenase) (TMLD)	TMLHE TMLH	Homo sapiens (Human)	421
55252	Q76L83	ASXL2_HUMAN	reviewed	Putative Polycomb group protein ASXL2 (Additional sex combs-like protein 2)	ASXL2 ASXH2 KIAA1685	Homo sapiens (Human)	1435
55275	Q5VIR6	VPS53_HUMAN	reviewed	Vacuolar protein sorting-associated protein 53 homolog	VPS53 PP13624	Homo sapiens (Human)	832
5528	Q14738	2A5D_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A B subunit isoform B'-delta) (PP2A B subunit isoform B56-delta) (PP2A B subunit isoform PR61-delta) (PP2A B subunit isoform R5-delta)	PPP2R5D	Homo sapiens (Human)	602
55294	Q969H0	FBXW7_HUMAN	reviewed	F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4)	FBXW7 FBW7 FBX30 SEL10	Homo sapiens (Human)	707
55343	Q96A29	FUCT1_HUMAN	reviewed	GDP-fucose transporter 1 (Solute carrier family 35 member C1)	SLC35C1 FUCT1	Homo sapiens (Human)	364
5537	O00743	PPP6_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	PPP6C PPP6	Homo sapiens (Human)	305
5538	P50897	PPT1_HUMAN	reviewed	Palmitoyl-protein thioesterase 1 (PPT-1) (EC 3.1.2.22) (Palmitoyl-protein hydrolase 1)	PPT1 CLN1 PPT	Homo sapiens (Human)	306
554	P30518	V2R_HUMAN	reviewed	Vasopressin V2 receptor (V2R) (AVPR V2) (Antidiuretic hormone receptor) (Renal-type arginine vasopressin receptor)	AVPR2 ADHR DIR DIR3 V2R	Homo sapiens (Human)	371
55422	Q9NQX6	ZN331_HUMAN	reviewed	Zinc finger protein 331 (C2H2-like zinc finger protein rearranged in thyroid adenomas) (Zinc finger protein 361) (Zinc finger protein 463)	ZNF331 RITA ZNF361 ZNF463	Homo sapiens (Human)	463
5546	Q92733	PRCC_HUMAN	reviewed	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	Homo sapiens (Human)	491
55500	Q9HBU6	EKI1_HUMAN	reviewed	Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82)	ETNK1 EKI1	Homo sapiens (Human)	452
5551	P14222	PERF_HUMAN	reviewed	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)	555
55532	Q6XR72	ZNT10_HUMAN	reviewed	Zinc transporter 10 (ZnT-10) (Manganese transporter SLC30A10) (Solute carrier family 30 member 10)	SLC30A10 ZNT10 ZNT8	Homo sapiens (Human)	485
55572	Q96CU9	FXRD1_HUMAN	reviewed	FAD-dependent oxidoreductase domain-containing protein 1 (EC 1.-.-.-)	FOXRED1 FP634	Homo sapiens (Human)	486
55607	Q9ULJ8	NEB1_HUMAN	reviewed	Neurabin-1 (Neurabin-I) (Neural tissue-specific F-actin-binding protein I) (Protein phosphatase 1 regulatory subunit 9A)	PPP1R9A KIAA1222	Homo sapiens (Human)	1098
55628	Q9C0G0	ZN407_HUMAN	reviewed	Zinc finger protein 407	ZNF407 KIAA1703	Homo sapiens (Human)	2248
55636	Q9P2D1	CHD7_HUMAN	reviewed	Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7)	CHD7 KIAA1416	Homo sapiens (Human)	2997
55640	Q9UPI3	FLVC2_HUMAN	reviewed	Feline leukemia virus subgroup C receptor-related protein 2 (Calcium-chelate transporter) (CCT)	FLVCR2 C14orf58	Homo sapiens (Human)	526
55651	Q9NX24	NHP2_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	NHP2 NOLA2 HSPC286	Homo sapiens (Human)	153
55654	O75204	TM127_HUMAN	reviewed	Transmembrane protein 127	TMEM127	Homo sapiens (Human)	238
5566	P17612	KAPCA_HUMAN	reviewed	cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)	PRKACA PKACA	Homo sapiens (Human)	351
