yourlist:M202111026320BA52A5CE8FCD097CB85A53697A35277F3CK	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YIR009W	P40567	MSL1_YEAST	reviewed	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	MSL1 YIR009W YIB9W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111
YIR013C	P40569	GAT4_YEAST	reviewed	Protein GAT4	GAT4 YIR013C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121
YJL002C	P41543	OST1_YEAST	reviewed	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (N-linked oligosaccharyl transferase subunit 1) (Oligosaccharyl transferase 64 kDa subunit) (Oligosaccharyl transferase subunit OST1) (Oligosaccharyl transferase subunit alpha)	OST1 NLT1 YJL002C J1404	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476
YJL014W	P39077	TCPG_YEAST	reviewed	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma)	CCT3 BIN2 TCP3 YJL014W J1336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
YJL056C	P47043	ZAP1_YEAST	reviewed	Zinc-responsive transcriptional regulator ZAP1	ZAP1 YJL056C J1145	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	880
YJL064W	P47038	YJG4_YEAST	reviewed	Putative uncharacterized protein YJL064W	YJL064W HRC131 J1120	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131
YJL069C	P40362	UTP18_YEAST	reviewed	U3 small nucleolar RNA-associated protein 18 (U3 snoRNA-associated protein 18) (U three protein 18)	UTP18 YJL069C HRE594 J1098	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594
YJL070C	P40361	YJH0_YEAST	reviewed	Inactive deaminase YJL070C	YJL070C HRD888 J1095	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	888
YJL089W	P46954	SIP4_YEAST	reviewed	Protein SIP4	SIP4 YJL089W J0922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	829
YJL102W	P39677	RRF2M_YEAST	reviewed	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	MEF2 YJL102W D819 J0826	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	819
YJL105W	P42948	SET4_YEAST	reviewed	SET domain-containing protein 4	SET4 YJL105W J0819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560
YJL110C	P42944	GZF3_YEAST	reviewed	Protein GZF3	GZF3 YJL110C J0806	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YJL111W	P42943	TCPH_YEAST	reviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	CCT7 YJL111W J0804	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	550
YJL116C	P46955	NCA3_YEAST	reviewed	Beta-glucosidase-like protein NCA3, mitochondrial	NCA3 YJL116C J0748	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337
YJL123C	P47018	MTC1_YEAST	reviewed	Maintenance of telomere capping protein 1	MTC1 YJL123C J0718	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	478
YJL127C	P35208	SPT10_YEAST	reviewed	Protein SPT10	SPT10 CRE1 SUD1 YJL127C J0702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	640
YJL136C	Q3E754	RS21B_YEAST	reviewed	40S ribosomal protein S21-B (S26) (Small ribosomal subunit protein eS21-B) (YS25)	RPS21B RPS25B RPS26B YJL136C J0664	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87
YJL140W	P20433	RPB4_YEAST	reviewed	DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide)	RPB4 YJL140W J0654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221
YJL143W	P39515	TIM17_YEAST	reviewed	Mitochondrial import inner membrane translocase subunit TIM17 (Mitochondrial inner membrane protein MIM17) (Mitochondrial protein import protein 2)	TIM17 MIM17 MPI2 SMS1 YJL143W J0648	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	158
YJL145W	P47008	SFH5_YEAST	reviewed	Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)	SFH5 YJL145W J0644	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294
YJL157C	P21268	FAR1_YEAST	reviewed	Cyclin-dependent kinase inhibitor FAR1 (CKI FAR1) (Factor arrest protein)	FAR1 YJL157C J0565	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	830
YJL162C	P46997	JJJ2_YEAST	reviewed	J protein JJJ2	JJJ2 YJL162C J0549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	583
YJL164C	P06244	KAPA_YEAST	reviewed	cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25)	TPK1 PKA1 SRA3 YJL164C J0541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	397
YJL172W	P27614	CBPS_YEAST	reviewed	Carboxypeptidase S (EC 3.4.17.4) (GLY-X carboxypeptidase) (YSCS)	CPS1 CPS YJL172W J0510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576
YJL176C	P32591	SWI3_YEAST	reviewed	SWI/SNF complex subunit SWI3 (Transcription factor TYE2) (Transcription regulatory protein SWI3)	SWI3 TYE2 YJL176C J0495	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	825
YJL185C	P46983	ATG36_YEAST	reviewed	Autophagy-related protein 36	ATG36 YJL185C J0415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	293
YJL189W	P04650	RL39_YEAST	reviewed	60S ribosomal protein L39 (L46) (Large ribosomal subunit protein eL39) (YL40)	RPL39 RPL46 SPB2 YJL189W J0360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	51
YJL196C	P39540	ELO1_YEAST	reviewed	Elongation of fatty acids protein 1 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELO1) (Very-long-chain 3-oxoacyl-CoA synthase 1)	ELO1 YJL196C J0343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	310
YJL198W	P39535	PHO90_YEAST	reviewed	Low-affinity phosphate transporter PHO90	PHO90 YJL198W J0336	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881
YJL210W	P32800	PEX2_YEAST	reviewed	Peroxisomal biogenesis factor 2 (Peroxin-2) (Peroxisomal protein PAS5) (Protein CRT1)	PEX2 CRT1 PAS5 YJL210W HRA271 J0240	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	271
YJL219W	P40885	HXT9_YEAST	reviewed	Hexose transporter HXT9	HXT9 YJL219W HRC567 J0222	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	567
YJR003C	P47084	MRX12_YEAST	reviewed	MIOREX complex component 12 (Mitochondrial organization of gene expression protein 12)	MRX12 YJR003C J1415 YJR83.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	519
YJR007W	P20459	IF2A_YEAST	reviewed	Eukaryotic translation initiation factor 2 subunit alpha (eIF-2-alpha)	SUI2 TIF211 YJR007W J1429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304
YJR017C	P22696	ESS1_YEAST	reviewed	Peptidyl-prolyl cis-trans isomerase ESS1 (PPIase ESS1) (EC 5.2.1.8) (Parvulin ESS1) (Processing/termination factor 1)	ESS1 PIN1 PTF1 YJR017C J1452	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170
YJR019C	P41903	PTE1_YEAST	reviewed	Peroxisomal acyl-coenzyme A thioester hydrolase 1 (EC 3.1.2.2) (Peroxisomal long-chain acyl-CoA thioesterase 1)	TES1 PTE1 YJR019C J1456	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	349
YJR035W	P40352	RAD26_YEAST	reviewed	DNA repair and recombination protein RAD26 (EC 3.6.4.12) (ATP-dependent helicase RAD26)	RAD26 GTA1085 YJR035W J1606	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1085
YJR043C	P47110	DPOD3_YEAST	reviewed	DNA polymerase delta subunit 3	POL32 YJR043C J1626	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	350
YJR054W	P47114	KCH1_YEAST	reviewed	Low affinity K(+) transporter 1	KCH1 YJR054W J1669	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	497
YJR064W	P40413	TCPE_YEAST	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 TCP5 YJR064W J1752	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562
YJR076C	P32458	CDC11_YEAST	reviewed	Cell division control protein 11	CDC11 PSL9 YJR076C J1833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415
YJR077C	P23641	MPCP_YEAST	reviewed	Mitochondrial phosphate carrier protein (Mitochondrial import receptor) (Phosphate transport protein) (PTP) (mPic 1) (p32) [Cleaved into: Mitochondrial phosphate carrier protein, N-terminally processed]	MIR1 YJR077C J1837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311
YJR091C	P47135	JSN1_YEAST	reviewed	Protein JSN1 (Pumilio homology domain family member 1)	JSN1 PUF1 YJR091C J1890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1091
YJR093C	P45976	FIP1_YEAST	reviewed	Pre-mRNA polyadenylation factor FIP1	FIP1 YJR093C J1911	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327
YJR095W	P33303	SFC1_YEAST	reviewed	Succinate/fumarate mitochondrial transporter (Regulator of acetyl-CoA synthase activity)	SFC1 ACR1 YJR095W J1921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	322
YJR117W	P47154	STE24_YEAST	reviewed	CAAX prenyl protease 1 (EC 3.4.24.84) (A-factor-converting enzyme) (Prenyl protein-specific endoprotease 1) (PPSEP 1)	STE24 AFC1 YJR117W J2032	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453
YJR123W	P26783	RS5_YEAST	reviewed	40S ribosomal protein S5 (RP14) (S2) (Small ribosomal subunit protein uS7) (YS8)	RPS5 RPS2 YJR123W J2045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	225
YJR124C	P47159	YJ94_YEAST	reviewed	Uncharacterized membrane protein YJR124C	YJR124C J2046	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	448
YJR126C	P47161	VPS70_YEAST	reviewed	Vacuolar protein sorting-associated protein 70 (EC 3.4.-.-)	VPS70 YJR126C J2050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	811
YJR143C	P46971	PMT4_YEAST	reviewed	Dolichyl-phosphate-mannose--protein mannosyltransferase 4 (EC 2.4.1.109)	PMT4 YJR143C J2176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	762
YHR203C,YJR145C	P0CX35	RS4A_YEAST	reviewed	40S ribosomal protein S4-A (RP5) (S7) (Small ribosomal subunit protein eS4-A) (YS6)	RPS4A RPS7B YJR145C J2186	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YHR203C,YJR145C	P0CX36	RS4B_YEAST	reviewed	40S ribosomal protein S4-B (RP5) (S7) (Small ribosomal subunit protein eS4-B) (YS6)	RPS4B RPS7A YHR203C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YJR152W	P15365	DAL5_YEAST	reviewed	Allantoate permease	DAL5 UREP1 YJR152W J2230	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	543
YJR155W	P47182	AAD10_YEAST	reviewed	Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-)	AAD10 YJR155W J2245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	288
YJR159W	P35497	DHSO1_YEAST	reviewed	Sorbitol dehydrogenase 1 (SDH 1) (EC 1.1.1.-) (Polyol dehydrogenase) (Xylitol dehydrogenase) (EC 1.1.1.9)	SOR1 SDH1 YJR159W J2395	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	357
YJR160C	P0CE00	MPH3_YEAST	reviewed	Alpha-glucosides permease MPH3 (Maltose transport protein 3)	MPH3 YJR160C J2400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602
YKL004W	P36107	AUR1_YEAST	reviewed	Inositol phosphorylceramide synthase catalytic subunit AUR1 (IPC synthase catalytic subunit AUR1) (EC 2.-.-.-) (Aureobasidin A resistance protein) (Phosphatidylinositol:ceramide phosphoinositol transferase)	AUR1 YKL004W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	401
YKL005C	P36106	BYE1_YEAST	reviewed	Transcription factor BYE1 (Bypass of ESS1 protein 1)	BYE1 YKL005C YKL150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594
YKL006W	P36105	RL14A_YEAST	reviewed	60S ribosomal protein L14-A (Large ribosomal subunit protein eL14-A)	RPL14A YKL006W YKL153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	138
YKL009W	P33201	MRT4_YEAST	reviewed	Ribosome assembly factor MRT4 (mRNA turnover protein 4)	MRT4 YKL009W YKL160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	236
YKL015W	P25502	PUT3_YEAST	reviewed	Proline utilization trans-activator	PUT3 YKL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	979
YKL020C	P35210	SPT23_YEAST	reviewed	Protein SPT23	SPT23 YKL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1082
YKL033W	P36097	TTI1_YEAST	reviewed	TEL2-interacting protein 1	TTI1 FMP47 YKL033W YKL246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1038
YKL039W	P32857	PTM1_YEAST	reviewed	Membrane protein PTM1	PTM1 YKL039W YKL252	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
YKL042W	P36094	SPC42_YEAST	reviewed	Spindle pole body component SPC42	SPC42 YKL042W YKL255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	363
YKL046C	P36091	DCW1_YEAST	reviewed	Mannan endo-1,6-alpha-mannosidase DCW1 (EC 3.2.1.101) (Defective cell wall 1) (Endo-alpha-1->6-D-mannanase DCW1)	DCW1 YKL046C YKL259	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	449
YKL049C	P36012	CENPA_YEAST	reviewed	Histone H3-like centromeric protein CSE4 (CENP-A homolog) (Chromosome segregation protein 4)	CSE4 CSL2 YKL049C YKL262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	229
YKL054C	P35732	DEF1_YEAST	reviewed	RNA polymerase II degradation factor 1 (RRM3-interacting protein 1)	DEF1 RIP1 VID31 YKL054C YKL308	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	738
YKL057C	P35729	NU120_YEAST	reviewed	Nucleoporin NUP120 (Nuclear pore protein NUP120)	NUP120 RAT2 YKL057C YKL313 YKL314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1037
YKL059C	P35728	MPE1_YEAST	reviewed	Protein MPE1	MPE1 YKL059C YKL316	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	441
YKL062W	P33749	MSN4_YEAST	reviewed	Zinc finger protein MSN4 (Multicopy suppressor of SNF1 protein 4)	MSN4 YKL062W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630
YKL101W	P34244	HSL1_YEAST	reviewed	Probable serine/threonine-protein kinase HSL1 (EC 2.7.11.1)	HSL1 YKL101W YKL453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1518
YKL107W	P34251	YKK7_YEAST	reviewed	Uncharacterized oxidoreductase YKL107W (EC 1.-.-.-)	YKL107W YKL462	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	309
YKL109W	P14064	HAP4_YEAST	reviewed	Transcriptional activator HAP4	HAP4 YKL109W YKL465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554
YKL112W	P14164	ABF1_YEAST	reviewed	ARS-binding factor 1 (Bidirectionally acting factor 1) (DNA replication enhancer-binding protein OBF1) (SFB-B)	ABF1 BAF1 OBF1 REB2 SBF1 YKL112W YKL505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	731
YKL118W	P36072	YKL8_YEAST	reviewed	Putative uncharacterized protein YKL118W	YKL118W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103
YKL120W	P32332	OAC1_YEAST	reviewed	Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)	OAC1 PMT PMT1 YKL120W YKL522	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324
YKL126W	P12688	YPK1_YEAST	reviewed	Serine/threonine-protein kinase YPK1 (EC 2.7.11.1) (Sphingosine-like immunosuppressant resistant protein 2) (Yeast protein kinase 1)	YPK1 SLI2 YKL126W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	680
YKL133C	P36066	MGR3L_YEAST	reviewed	Protein MRG3-like	YKL133C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	463
YKL146W	P36062	AVT3_YEAST	reviewed	Vacuolar amino acid transporter 3	AVT3 YKL146W YKL600	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	692
YKL154W	P36057	SRPB_YEAST	reviewed	Signal recognition particle receptor subunit beta (SR-beta)	SRP102 YKL154W YKL609	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
YKL157W	P32454	APE2_YEAST	reviewed	Aminopeptidase 2, mitochondrial (AP-II) (Aminopeptidase II) (EC 3.4.11.-) (YscII)	APE2 LAP1 YKL157W YKL158W YKL611 YKL612	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	952
YKL166C	P05986	KAPC_YEAST	reviewed	cAMP-dependent protein kinase type 3 (PKA 3) (EC 2.7.11.11)	TPK3 PKA3 YKL166C YKL630	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	398
YKL171W	P36003	NNK1_YEAST	reviewed	Nitrogen network kinase 1 (EC 2.7.11.1)	NNK1 YKL171W YKL635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	928
YKL179C	P34237	CASP_YEAST	reviewed	Protein CASP	COY1 YKL179C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	679
YKL180W	P05740	RL17A_YEAST	reviewed	60S ribosomal protein L17-A (L20A) (Large ribosomal subunit protein uL22-A) (YL17)	RPL17A RPL17 RPL20A YKL180W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	184
YKL183W	P34234	LOT5_YEAST	reviewed	Protein LOT5 (Low temperature-responsive protein 5)	LOT5 YKL183W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306
YKL195W	P36046	MIA40_YEAST	reviewed	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)	MIA40 TIM40 YKL195W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	403
YKL203C	P32600	TOR2_YEAST	reviewed	Serine/threonine-protein kinase TOR2 (EC 2.7.1.67) (EC 2.7.11.1) (Dominant rapamycin resistance protein 2) (Phosphatidylinositol 4-kinase TOR2) (PI4-kinase TOR2) (PI4K TOR2) (PtdIns-4-kinase TOR2) (Target of rapamycin kinase 2) (Temperature-sensitive CSG2 suppressor protein 14)	TOR2 DRR2 TSC14 YKL203C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2474
YKL205W	P33418	XPOT_YEAST	reviewed	Exportin-T (Exportin(tRNA)) (Karyopherin-beta) (tRNA exportin)	LOS1 YKL205W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1100
YKL217W	P36035	JEN1_YEAST	reviewed	Carboxylic acid transporter protein homolog	JEN1 YKL217W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	616
YKR002W	P29468	PAP_YEAST	reviewed	Poly(A) polymerase (PAP) (EC 2.7.7.19) (Polynucleotide adenylyltransferase)	PAP1 YKR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	568
YKR030W	P36125	GMH1_YEAST	reviewed	Protein GMH1 (GEA1-6 membrane-associated high-copy suppressor protein 1)	GMH1 MSG1 YKR030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	273
YKR036C	P36130	CAF4_YEAST	reviewed	CCR4-associated factor 4	CAF4 YKR036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643
YKR039W	P19145	GAP1_YEAST	reviewed	General amino-acid permease GAP1	GAP1 YKR039W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602
YKR075C	P36155	YK55_YEAST	reviewed	Uncharacterized protein YKR075C	YKR075C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307
YKR081C	P36160	RPF2_YEAST	reviewed	Ribosome biogenesis protein RPF2	RPF2 YKR081C YKR401	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344
YKR089C	P36165	TGL4_YEAST	reviewed	Triacylglycerol lipase 4 (EC 3.1.1.3) (Lipase 4)	TGL4 STC1 YKR089C YKR409	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	910
YKR092C	P32583	SRP40_YEAST	reviewed	Suppressor protein SRP40	SRP40 YKR092C YKR412A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	406
YKR093W	P32901	PTR2_YEAST	reviewed	Peptide transporter PTR2 (Peptide permease PTR2)	PTR2 YKR093W YKR413	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	601
YIL148W,YKR094C	P0CH08	RL40A_YEAST	reviewed	Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-A (CEP52) (Large ribosomal subunit protein eL40-A)]	RPL40A UBI1 YIL148W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128
YIL148W,YKR094C	P0CH09	RL40B_YEAST	reviewed	Ubiquitin-60S ribosomal protein L40 [Cleaved into: Ubiquitin; 60S ribosomal protein L40-B (CEP52) (Large ribosomal subunit protein eL40-B)]	RPL40B UBI2 YKR094C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	128
YKR098C	P36026	UBP11_YEAST	reviewed	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	UBP11 YKR098C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	717
YLL005C	Q07798	SPO75_YEAST	reviewed	Sporulation-specific protein 75	SPO75 YLL005C L1361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	868
YLL006W	P41800	MMM1_YEAST	reviewed	Maintenance of mitochondrial morphology protein 1 (Mitochondrial outer membrane protein MMM1) (Yeast mitochondrial escape protein 6)	MMM1 YME6 YLL006W L1357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	426
YLL027W	Q07821	ISA1_YEAST	reviewed	Iron-sulfur assembly protein 1	ISA1 YLL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	250
YLL028W	Q07824	TPO1_YEAST	reviewed	Polyamine transporter 1	TPO1 YLL028W L0939	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	586
YLL044W	Q07880	YL044_YEAST	reviewed	Putative uncharacterized protein YLL044W	YLL044W L0725	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	148
YLL055W	Q12235	YCT1_YEAST	reviewed	High affinity cysteine transporter	YCT1 YLL055W L0578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	531
YLL065W	Q99339	GIN11_YEAST	reviewed	Putative UPF0320 protein YLL065W (Growth inhibitory protein 11) (GIN11)	YLL065W L0536	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	116
YLR006C	Q07084	SSK1_YEAST	reviewed	Osmolarity two-component system protein SSK1	SSK1 YLR006C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	712
YLR009W	Q07915	RLP24_YEAST	reviewed	Ribosome biogenesis protein RLP24 (Ribosomal protein L24-like)	RLP24 YLR009W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199
YLR013W	Q07928	GAT3_YEAST	reviewed	Protein GAT3	GAT3 YLR013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	141
YLR016C	Q07930	PML1_YEAST	reviewed	Pre-mRNA leakage protein 1	PML1 YLR016C L1591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	204
YLR025W	P39929	SNF7_YEAST	reviewed	Vacuolar-sorting protein SNF7 (DOA4-independent degradation protein 1) (Sucrose nonfermenting protein 7) (Vacuolar protein-sorting-associated protein 32)	SNF7 DID1 VPS32 YLR025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	240
YLR046C	Q12253	YL046_YEAST	reviewed	Uncharacterized membrane protein YLR046C	YLR046C L2111	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	270
YLR047C	Q12209	FRE8_YEAST	reviewed	Probable ferric reductase transmembrane component 8 (EC 1.16.1.7) (Ferric-chelate reductase 8)	FRE8 YLR047C L2114	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	686
YLR053C	Q12026	YL053_YEAST	reviewed	Putative uncharacterized protein YLR053C	YLR053C L2137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108
YLR054C	Q12202	OSW2_YEAST	reviewed	Outer spore wall protein 2	OSW2 YLR054C L2141	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	724
YLR055C	P38915	SPT8_YEAST	reviewed	Transcription factor SPT8	SPT8 YLR055C L2144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	602
